timestamp,x,y,z,dt
18:45:00.000,0.1,0.2,0.3,1900-01-01 18:45:00
18:45:01.000,1.1,2.2,3.3,1900-01-01 18:45:01
18:45:02.000,2.1,4.2,6.3,1900-01-01 18:45:02
18:45:03.000,3.1,6.2,2.3,1900-01-01 18:45:03
18:45:04.000,4.1,8.2,5.3,1900-01-01 18:45:04
18:45:05.000,5.1,0.2,1.3,1900-01-01 18:45:05
18:45:06.000,6.1,2.2,4.3,1900-01-01 18:45:06
18:45:07.000,7.1,4.2,0.3,1900-01-01 18:45:07
18:45:08.000,8.1,6.2,3.3,1900-01-01 18:45:08
18:45:09.000,9.1,8.2,6.3,1900-01-01 18:45:09
18:45:10.000,0.1,0.2,2.3,1900-01-01 18:45:10
18:45:11.000,1.1,2.2,5.3,1900-01-01 18:45:11
18:45:12.000,2.1,4.2,1.3,1900-01-01 18:45:12
18:45:13.000,3.1,6.2,4.3,1900-01-01 18:45:13
18:45:14.000,4.1,8.2,0.3,1900-01-01 18:45:14
18:45:15.000,5.1,0.2,3.3,1900-01-01 18:45:15
18:45:16.000,6.1,2.2,6.3,1900-01-01 18:45:16
18:45:17.000,7.1,4.2,2.3,1900-01-01 18:45:17
18:45:18.000,8.1,6.2,5.3,1900-01-01 18:45:18
18:45:19.000,9.1,8.2,1.3,1900-01-01 18:45:19
18:45:20.000,0.1,0.2,4.3,1900-01-01 18:45:20
18:45:21.000,1.1,2.2,0.3,1900-01-01 18:45:21
18:45:22.000,2.1,4.2,3.3,1900-01-01 18:45:22
18:45:23.000,3.1,6.2,6.3,1900-01-01 18:45:23
18:45:24.000,4.1,8.2,2.3,1900-01-01 18:45:24
18:45:25.000,5.1,0.2,5.3,1900-01-01 18:45:25
18:45:26.000,6.1,2.2,1.3,1900-01-01 18:45:26
18:45:27.000,7.1,4.2,4.3,1900-01-01 18:45:27
18:45:28.000,8.1,6.2,0.3,1900-01-01 18:45:28
18:45:29.000,9.1,8.2,3.3,1900-01-01 18:45:29
18:45:30.000,0.1,0.2,6.3,1900-01-01 18:45:30
18:45:31.000,1.1,2.2,2.3,1900-01-01 18:45:31
18:45:32.000,2.1,4.2,5.3,1900-01-01 18:45:32
18:45:33.000,3.1,6.2,1.3,1900-01-01 18:45:33
18:45:34.000,4.1,8.2,4.3,1900-01-01 18:45:34
18:45:35.000,5.1,0.2,0.3,1900-01-01 18:45:35
18:45:36.000,6.1,2.2,3.3,1900-01-01 18:45:36
18:45:37.000,7.1,4.2,6.3,1900-01-01 18:45:37
18:45:38.000,8.1,6.2,2.3,1900-01-01 18:45:38
18:45:39.000,9.1,8.2,5.3,1900-01-01 18:45:39
18:45:40.000,0.1,0.2,1.3,1900-01-01 18:45:40
18:45:41.000,1.1,2.2,4.3,1900-01-01 18:45:41
18:45:42.000,2.1,4.2,0.3,1900-01-01 18:45:42
18:45:43.000,3.1,6.2,3.3,1900-01-01 18:45:43
18:45:44.000,4.1,8.2,6.3,1900-01-01 18:45:44
18:45:45.000,5.1,0.2,2.3,1900-01-01 18:45:45
18:45:46.000,6.1,2.2,5.3,1900-01-01 18:45:46
18:45:47.000,7.1,4.2,1.3,1900-01-01 18:45:47
18:45:48.000,8.1,6.2,4.3,1900-01-01 18:45:48
18:45:49.000,9.1,8.2,0.3,1900-01-01 18:45:49
18:45:50.000,0.1,0.2,3.3,1900-01-01 18:45:50
